Kaggle_ID,Date,Hour,Temperature,Humidity,Wind speed,Visibility,Dew point temperature,Solar Radiation,Rainfall,Snowfall,Seasons,Holiday,Functioning Day,Record_id,Demand_Category,Month
0,15/05/2018,11,24.8,36.0,1.8,973,8.7,2.7,0.0,0.0,Spring,No Holiday,Yes,5137441,1,5
1,7/9/2018,23,12.9,,2.4,1688,50.9,0.0,2.4,1.4,Autumn,No Holiday,No,1465289,0,9
2,8/6/2018,21,21.2,77.0,1.7,638,16.9,0.0,0.0,0.0,Summer,No Holiday,Yes,13081158,2,6
3,3/2/2018,23,-10.0,48.0,2.6,2000,-18.9,0.0,0.0,0.0,Winter,No Holiday,Yes,807953,0,2
4,20/07/2018,18,33.9,42.0,2.0,1969,19.1,1.25,0.0,0.0,Summer,No Holiday,Yes,13313822,2,7
5,23/06/2018,18,26.3,55.0,3.2,1119,16.5,0.64,0.0,0.0,Summer,No Holiday,Yes,11877337,2,6
6,6/7/2018,1,23.1,66.0,1.6,2000,16.3,0.0,0.0,0.0,Summer,No Holiday,Yes,4965018,1,7
7,11/3/2018,3,4.4,80.0,1.6,393,1.2,0.0,0.0,0.0,Spring,No Holiday,Yes,1151402,0,3
8,20/01/2018,22,1.5,48.0,2.4,422,-8.3,0.0,0.0,0.0,Winter,No Holiday,Yes,1613698,1,1
9,22/05/2018,8,18.2,63.0,0.8,1731,11.0,1.0,0.0,0.0,Spring,Holiday,Yes,4164837,1,5
10,9/1/2018,23,-4.9,80.0,0.7,690,-7.8,0.0,0.0,0.2,Winter,No Holiday,Yes,1200126,0,1
11,7/12/2017,21,-2.2,46.0,2.2,1975,-12.2,0.0,0.0,0.0,Winter,No Holiday,Yes,3017933,1,12
12,4/12/2017,15,-0.1,25.0,5.8,2000,-17.8,0.88,0.0,0.0,Winter,No Holiday,Yes,2409351,1,12
13,17/06/2018,21,22.7,66.0,0.9,1069,16.0,0.0,0.0,0.0,Summer,No Holiday,Yes,11098581,2,6
14,26/02/2018,11,4.6,37.0,1.6,1309,-8.8,1.95,0.0,0.0,Winter,No Holiday,Yes,2425606,1,2
15,30/09/2018,15,21.3,32.0,3.8,2000,3.9,2.31,0.0,0.0,Autumn,No Holiday,No,239646,0,9
16,2/12/2017,23,4.0,56.0,1.0,1352,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes,2268243,1,12
17,9/12/2017,4,-4.3,49.0,0.7,2000,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes,1161028,0,12
18,23/09/2018,8,17.0,69.0,1.2,2000,11.2,0.3,0.0,0.0,Autumn,Holiday,Yes,2715639,1,9
19,30/12/2017,6,-1.1,81.0,,253,-3.9,0.0,0.0,0.0,Winter,No Holiday,Yes,674867,0,12
20,1/7/2018,8,22.1,93.0,,805,20.9,0.14,1.0,0.0,Summer,No Holiday,Yes,374571,0,7
